URL;ID;Name;Subtitle;Icon_URL;Average_User_Rating;User_Rating_Count;Price;Developer;Age_Rating;Languages;Size;Primary_Genre;Genres;Original_Release_Date;Current_Version_Release_Date
https//apps.apple.com/us/app/input-game/id1362832867;1362832867;Input Game;clever strategy to the limit;https//is3-ssl.mzstatic.com/image/thumb/Purple118/v4/e7/1a/e0/e71ae0fc-851c-b084-9944-8d858aaebc9e/source/512x512bb.jpg;;;0;d brinqs;4+;CS, DA, NL, EN, FR, DE, HE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH, TR;32053248;Games;Games, Strategy, Board;27/03/2018;27/03/2018
https//apps.apple.com/us/app/1945-air-warriors/id1362979656;1362979656;1945Air Warriors;1945Air Warriors;https//is3-ssl.mzstatic.com/image/thumb/Purple128/v4/12/78/79/1278797e-f63e-c3a7-1a76-bfb4e13ed843/source/512x512bb.jpg;;;0;Nguyen Dang An;12+;EN;59510784;Games;Games, Strategy, Action, Entertainment;23/03/2018;23/03/2018
https//apps.apple.com/us/app/fantasy-dragon-world/id1362979803;1362979803;Fantasy Dragon World;;https//is4-ssl.mzstatic.com/image/thumb/Purple115/v4/3c/6a/7a/3c6a7a88-406b-c447-835b-353f0df4a63e/source/512x512bb.jpg;;;4.99;chunxia hu;4+;AF, SQ, AR, HY, AZ, EU, BE, BS, BG, CA, ZH, HR, CS, DA, NL, EN, EO, ET, FI, FR, GL, KA, DE, EL, GU, HE, HI, HU, IS, ID, GA, IT, JA, KN, KK, KY, KO, KU, LA, LV, LT, MK, MS, ML, MT, MI, MR, MN, NB, PS, FA, PL, PT, PA, RO, RU, SR, SK, SL, ES, SW, SV, TL, TA, TE, TH, ZH, TR, UK, UR, UZ, VI, CY, XH, YI, ZU;1003995136;Games;Games, Strategy, Entertainment, Role Playing;27/03/2018;09/05/2018
https//apps.apple.com/us/app/brick-ball-break-multiplayer/id1362985864;1362985864;Brick Ball Break Multiplayer;Brick Classic Multiplayer Game;https//is5-ssl.mzstatic.com/image/thumb/Purple62/v4/d2/ab/a6/d2aba652-27ab-4092-3a29-b232dffd270f/source/512x512bb.jpg;;;0;Navarat Werawinantanakun;4+;EN;9449472;Games;Games, Strategy, Family;29/03/2018;29/03/2018
https//apps.apple.com/us/app/tic-tac-toe-2-xo-multiplayer/id1362986893;1362986893;Tic Tac Toe 2 - XO Multiplayer;Classic XO 2 Player Game;https//is3-ssl.mzstatic.com/image/thumb/Purple118/v4/ca/82/ff/ca82ffbd-48a6-ad9f-0d66-779a37a8817e/source/512x512bb.jpg;;;0;Navarat Werawinantanakun;4+;EN;13851648;Games;Games, Family, Strategy;06/04/2018;06/04/2018
https//apps.apple.com/us/app/chess-clock-for-chess/id1362987376;1362987376;Chess Clock for Chess;Play your favorite game!;https//is5-ssl.mzstatic.com/image/thumb/Purple128/v4/85/d3/86/85d38674-fe90-4169-0db1-d2306b729e28/source/512x512bb.jpg;;;0;Georgi Zlatinov;4+;EN;16923648;Games;Games, Strategy, Board, Entertainment;24/03/2018;26/03/2018
https//apps.apple.com/us/app/fruit-vs-knife/id1363052551;1363052551;Fruit Vs. Knife;Fire the fruits with the knife;https//is5-ssl.mzstatic.com/image/thumb/Purple118/v4/a4/34/b2/a434b278-148e-92ad-099f-3aaec353f7b5/source/512x512bb.jpg;;;0;Hien Bui;9+;EN;34151424;Games;Games, Casual, Strategy, Entertainment;28/03/2018;01/04/2018
https//apps.apple.com/us/app/world-war-2-1942/id1363058593;1363058593;World War 2 1942;;https//is5-ssl.mzstatic.com/image/thumb/Purple128/v4/3c/b8/1a/3cb81a49-90e5-a065-4746-fcc82d9f405e/source/512x512bb.jpg;;;0;Dmitry Gushchin;12+;EN;154244096;Games;Games, Strategy;11/04/2018;11/04/2018
https//apps.apple.com/us/app/cannibal-bunnies-2-hd/id1363329955;1363329955;Cannibal Bunnies 2 - HD;Unique Touch Platformer;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/21/8b/4f/218b4f26-22f7-bd9d-380c-92ccefc80d50/source/512x512bb.jpg;;;0.99;Creative Drops Studios;9+;EN;173285376;Games;Games, Strategy, Entertainment, Adventure;25/03/2018;29/03/2018
https//apps.apple.com/us/app/tower-defense-skeletal-war/id1363421240;1363421240;Tower Defense Skeletal War;Classic 2D Tower Defense;https//is1-ssl.mzstatic.com/image/thumb/Purple115/v4/9a/28/16/9a28165c-cc85-a821-79ef-c67c7bf4066e/source/512x512bb.jpg;;;0;Rem Fazio;9+;EN;285037568;Games;Games, Strategy;30/03/2018;10/05/2018
https//apps.apple.com/us/app/c-wipe/id1363490070;1363490070;C-Wipe;C-Wipe ein Spiel zum Spaxdf;https//is2-ssl.mzstatic.com/image/thumb/Purple118/v4/02/4d/6c/024d6ce0-7932-0741-3c92-dfb235b826f9/source/512x512bb.jpg;;;0;Matthias Huberich;4+;EN;13679616;Games;Games, Strategy, Puzzle;28/03/2018;13/05/2018
https//apps.apple.com/us/app/magnamines/id1363635489;1363635489;Magnamines;Minesweeper with Style;https//is4-ssl.mzstatic.com/image/thumb/Purple128/v4/dc/ab/70/dcab7030-4ee3-5b91-62bf-f9203cf6f62e/source/512x512bb.jpg;;;0;Magnamoose, LLC;4+;EN;115220480;Games;Games, Board, Strategy, Entertainment;02/04/2018;05/04/2018
https//apps.apple.com/us/app/arrival-of-tyranny/id1363760157;1363760157;Arrival of Tyranny;Turn-based strategy;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/68/1a/28/681a2874-f80a-b2f5-1df2-e35d85380d5c/source/512x512bb.jpg;;;0;Gerhard Hammer;12+;EN;201237504;Games;Games, Board, Strategy;02/06/2018;10/12/2018
