ID,Name,Subtitle,Average User Rating,User Rating Count,Price,Age Rating,Languages,Size,Primary Genre,genero_1,genero_2,genero_3,genero_4,Current Version Release Date
1038913047,1944 Burning Bridges,Strategic WW2 DDay battles,4,239,0,9+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH, TR",169892864,Games, Strategy, Simulation,,,2/03/2018
1067810278,1944 Burning Bridges Premium,,2.5,7,2.99,9+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH, TR",164879360,Games, Strategy,,,,2/03/2018
1362979656,1945Air Warriors,1945Air Warriors,,,0,12+,EN,59510784,Games, Strategy, Action, Entertainment,,23/03/2018
1323428307,1980 Music Riddle Trivia,,,,0,4+,EN,10418176,Games, Strategy, Puzzle, Productivity,,11/12/2017
1439363498,1line Tangled One Line Touch,1line Tangled One Line Touch,,,0,4+,"CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",35312640,Games, Casual, Entertainment, Strategy,,3/11/2018
1268419381,2 Ninjas,You can do it- you come,,,0,4+,"ZH, EN, FR, DE, IT, JA, KO",61528064,Games, Strategy, Adventure, Entertainment,,25/08/2017
1078536321,2 Orbits  Free Fun Challenge Game,,,,0,4+,EN,76726272,Games, Sports, Strategy, Casual,,14/03/2016
1138474278,2 Red Balls,,,,0.99,4+,EN,25794560,Games, Strategy, Casual,,,2/09/2016
1138939603,2 Red Balls Free,,,,0,4+,EN,32080896,Games, Casual, Strategy,,,2/09/2016
1234101526,20 Squares Royal Game of Ur,An ancient game of strategy,4,14,0.99,4+,EN,40439808,Games, Board, Strategy, Education,,23/04/2019
1254933625,20 times to escape,,4,57,0,4+,"EN, ZH, ZH",138716160,Games, Strategy, Entertainment, Adventure,,26/11/2018
1258040245,2017 Gymnastics Swim Diving 3D,,,,2.99,4+,EN,115167232,Games, Health & Fitness, Strategy, Casual,,12/07/2017
1197072912,2020 Block Puzzle,,4.5,32,0,4+,EN,43997184,Games, Strategy, Lifestyle, Puzzle,,19/04/2017
1118746143,2048  Full option  2 3 fibonacci  Full map 4x4 5x5 and ultilities,,,,0,4+,EN,3915776,Games, Entertainment, Strategy, Puzzle,,7/06/2016
1170561122,2048  New Amazing Version,,,,0,4+,EN,33396736,Games, Entertainment, Puzzle, Strategy,,4/01/2017
1327156607,2048  Number Puzzle,,,,0,4+,"CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, IT, JA, KO, NB, PL, PT, RO, RU, ZH, SK, ES, SV, ZH, TR",12333056,Games, Puzzle, Strategy,,,23/12/2017
1222439182,2048  with night mode,,,,0,4+,"EN, RU",1089536,Games, Entertainment, Strategy, Puzzle,,17/05/2017
1166012796,2048 (AI Support),,,,0,4+,EN,23143424,Games, Trivia, Strategy,,,28/10/2016
1096191993,2048  logic game,,,,0,4+,"EN, FR",4375552,Games, Entertainment, Puzzle, Strategy,,16/04/2016
1148414660,2048 ABC,,,,0,4+,"EN, ES",24899584,Games, Strategy, Education, Puzzle,,27/09/2016
