ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1181404491;220517376; Strategy; Board; Entertainment;07/12/2016;27/04/2017
1181425359;47722496; Adventure; Strategy;;03/12/2016;03/12/2016
1181438308;156746752; Board; Entertainment; Strategy;03/01/2017;17/08/2018
1181465728;238882816; Strategy; Card;;01/08/2017;08/09/2017
1181507401;172755968; Entertainment; Strategy; Puzzle;06/01/2017;08/02/2017
1181515098;140406784; Action; Strategy;;03/12/2016;03/12/2016
1181569557;190481408; Entertainment; Strategy; Role Playing;05/12/2016;15/12/2016
1181625020;73945088; Strategy; Puzzle;;27/02/2017;26/01/2018
1181672161;9339904; Puzzle; Strategy;;06/12/2016;06/12/2016
1181701348;75200512; Card; Strategy;;04/01/2017;24/01/2019
